time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02 00:00:00,1.0695000000000001,1.07068,1.0685,1.06898,914,65,0
2023-01-02 01:00:00,1.0698,1.07056,1.06979,1.07056,69,0,0
2023-01-02 02:00:00,1.07057,1.07089,1.06938,1.07071,242,2,0
2023-01-02 03:00:00,1.07071,1.07092,1.06932,1.06984,245,0,0
2023-01-02 04:00:00,1.06984,1.06984,1.06898,1.06952,152,1,0
2023-01-02 05:00:00,1.06952,1.07032,1.06924,1.06958,120,0,0
2023-01-02 06:00:00,1.06954,1.07044,1.06948,1.07017,141,0,0
2023-01-02 07:00:00,1.07017,1.07027,1.0688,1.06972,457,0,0
2023-01-02 08:00:00,1.06972,1.07002,1.068,1.06932,758,0,0
2023-01-02 09:00:00,1.0689,1.06934,1.06638,1.06787,1386,0,0
2023-01-02 10:00:00,1.0679400000000001,1.0698,1.0671599999999999,1.068,1088,0,0
2023-01-02 11:00:00,1.06799,1.06992,1.06774,1.06789,1574,0,0
2023-01-02 12:00:00,1.06789,1.06898,1.0675,1.0683799999999999,826,0,0
2023-01-02 13:00:00,1.06837,1.06866,1.06806,1.06848,610,0,0
2023-01-02 14:00:00,1.06848,1.06874,1.06774,1.06826,866,0,0
2023-01-02 15:00:00,1.06826,1.06866,1.06772,1.06786,1094,0,0
2023-01-02 16:00:00,1.06788,1.06821,1.06709,1.06729,813,0,0
2023-01-02 17:00:00,1.06729,1.06738,1.06588,1.06605,1065,0,0
2023-01-02 18:00:00,1.06604,1.06706,1.06516,1.06555,1511,0,0
2023-01-02 19:00:00,1.06554,1.06622,1.06554,1.06604,844,0,0
2023-01-02 20:00:00,1.06604,1.06612,1.06524,1.06527,829,0,0
2023-01-02 21:00:00,1.06531,1.0661,1.06508,1.0658,514,0,0
2023-01-02 22:00:00,1.0658,1.06701,1.06566,1.06656,789,0,0
2023-01-02 23:00:00,1.06656,1.06744,1.06597,1.066,253,0,0
2023-01-03 00:00:00,1.0665,1.06659,1.06612,1.06646,108,16,0
2023-01-03 01:00:00,1.06677,1.06836,1.06502,1.0677,3092,0,0
2023-01-03 02:00:00,1.0677,1.06786,1.06669,1.06707,2606,0,0
2023-01-03 03:00:00,1.06707,1.06744,1.06506,1.06601,4148,0,0
2023-01-03 04:00:00,1.066,1.06779,1.06578,1.06767,2862,0,0
2023-01-03 05:00:00,1.06766,1.06787,1.06689,1.06725,2474,0,0
2023-01-03 06:00:00,1.06727,1.06804,1.0667200000000001,1.06674,1810,0,0
2023-01-03 07:00:00,1.06674,1.06708,1.06592,1.06638,2596,0,0
2023-01-03 08:00:00,1.06638,1.06679,1.06516,1.06524,2825,0,0
2023-01-03 09:00:00,1.0653,1.06588,1.06202,1.0624,4053,0,0
2023-01-03 10:00:00,1.0624,1.06286,1.05511,1.05518,6971,0,0
2023-01-03 11:00:00,1.05514,1.0561,1.05341,1.05478,5911,0,0
2023-01-03 12:00:00,1.05478,1.0555,1.05256,1.05312,4411,0,0
2023-01-03 13:00:00,1.05311,1.0536,1.05196,1.05285,3652,0,0
2023-01-03 14:00:00,1.05286,1.0549,1.05242,1.05358,3734,0,0
2023-01-03 15:00:00,1.05356,1.05699,1.05306,1.05604,5187,0,0
2023-01-03 16:00:00,1.05602,1.05972,1.05554,1.05741,5880,0,0
2023-01-03 17:00:00,1.05746,1.05821,1.05546,1.05558,6550,0,0
2023-01-03 18:00:00,1.05558,1.05588,1.05375,1.05581,5145,0,0
2023-01-03 19:00:00,1.0558,1.05592,1.05402,1.05464,3346,0,0
2023-01-03 20:00:00,1.0546,1.05608,1.05432,1.05568,2554,0,0
2023-01-03 21:00:00,1.05568,1.05684,1.05553,1.05663,2939,0,0
2023-01-03 22:00:00,1.05665,1.05688,1.05507,1.05516,2972,0,0
2023-01-03 23:00:00,1.05517,1.0554,1.05465,1.05488,1460,0,0
2023-01-04 00:00:00,1.05444,1.05478,1.05438,1.05475,2077,6,0
2023-01-04 01:00:00,1.05484,1.05548,1.05409,1.05456,2388,0,0
